PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
194,1,2,male,3,1,1,230080,26,F2,S
195,1,1,female,44,0,0,PC 17610,27.7208,B4,C
196,1,1,female,58,0,0,PC 17569,146.5208,B80,C
198,0,3,male,42,0,1,4579,8.4042,Nenhum,S
200,0,2,female,24,0,0,248747,13,Nenhum,S
201,0,3,male,28,0,0,345770,9.5,Nenhum,S
203,0,3,male,34,0,0,3101264,6.4958,Nenhum,S
204,0,3,male,45.5,0,0,2628,7225,Nenhum,C
205,1,3,male,18,0,0,A/5 3540,8.05,Nenhum,S
206,0,3,female,2,0,1,347054,10.4625,G6,S
207,0,3,male,32,1,0,3101278,15.85,Nenhum,S
208,1,3,male,26,0,0,2699,18.7875,Nenhum,C
209,1,3,female,16,0,0,367231,7.75,Nenhum,Q
210,1,1,male,40,0,0,112277,31,A31,C
211,0,3,male,24,0,0,SOTON/O.Q. 3101311,7.05,Nenhum,S
212,1,2,female,35,0,0,F.C.C. 13528,21,Nenhum,S
213,0,3,male,22,0,0,A/5 21174,7.25,Nenhum,S
214,0,2,male,30,0,0,250646,13,Nenhum,S
216,1,1,female,31,1,0,35273,113275,D36,C
217,1,3,female,27,0,0,STON/O2. 3101283,7925,Nenhum,S
218,0,2,male,42,1,0,243847,27,Nenhum,S
219,1,1,female,32,0,0,11813,76.2917,D15,C
220,0,2,male,30,0,0,W/C 14208,10.5,Nenhum,S
221,1,3,male,16,0,0,SOTON/OQ 392089,8.05,Nenhum,S
222,0,2,male,27,0,0,220367,13,Nenhum,S
223,0,3,male,51,0,0,21440,8.05,Nenhum,S
225,1,1,male,38,1,0,19943,90,C93,S
226,0,3,male,22,0,0,PP 4348,9.35,Nenhum,S
227,1,2,male,19,0,0,SW/PP 751,10.5,Nenhum,S
228,0,3,male,20.5,0,0,A/5 21173,7.25,Nenhum,S
229,0,2,male,18,0,0,236171,13,Nenhum,S
231,1,1,female,35,1,0,36973,83475,C83,S
232,0,3,male,29,0,0,347067,7775,Nenhum,S
233,0,2,male,59,0,0,237442,13.5,Nenhum,S
234,1,3,female,5,4,2,347077,31.3875,Nenhum,S
235,0,2,male,24,0,0,C.A. 29566,10.5,Nenhum,S
237,0,2,male,44,1,0,26707,26,Nenhum,S
238,1,2,female,8,0,2,C.A. 31921,26.25,Nenhum,S
239,0,2,male,19,0,0,28665,10.5,Nenhum,S
240,0,2,male,33,0,0,SCO/W 1585,12275,Nenhum,S
243,0,2,male,29,0,0,W./C. 14263,10.5,Nenhum,S
244,0,3,male,22,0,0,STON/O 2. 3101275,7125,Nenhum,S
245,0,3,male,30,0,0,2694,7225,Nenhum,C
246,0,1,male,44,2,0,19928,90,C78,Q
247,0,3,female,25,0,0,347071,7775,Nenhum,S
248,1,2,female,24,0,2,250649,14.5,Nenhum,S
249,1,1,male,37,1,1,11751,52.5542,D35,S
250,0,2,male,54,1,0,244252,26,Nenhum,S
252,0,3,female,29,1,1,347054,10.4625,G6,S
253,0,1,male,62,0,0,113514,26.55,C87,S
254,0,3,male,30,1,0,A/5. 3336,16.1,Nenhum,S
255,0,3,female,41,0,2,370129,20.2125,Nenhum,S
256,1,3,female,29,0,2,2650,15.2458,Nenhum,C
258,1,1,female,30,0,0,110152,86.5,B77,S
259,1,1,female,35,0,0,PC 17755,512.3292,Nenhum,C
260,1,2,female,50,0,1,230433,26,Nenhum,S
262,1,3,male,3,4,2,347077,31.3875,Nenhum,S
263,0,1,male,52,1,1,110413,79.65,E67,S
264,0,1,male,40,0,0,112059,0,B94,S
266,0,2,male,36,0,0,C.A. 17248,10.5,Nenhum,S
267,0,3,male,16,4,1,3101295,39.6875,Nenhum,S
268,1,3,male,25,1,0,347083,7775,Nenhum,S
269,1,1,female,58,0,1,PC 17582,153.4625,C125,S
270,1,1,female,35,0,0,PC 17760,135.6333,C99,S
272,1,3,male,25,0,0,LINE,0,Nenhum,S
273,1,2,female,41,0,1,250644,19.5,Nenhum,S
274,0,1,male,37,0,1,PC 17596,29.7,C118,C
276,1,1,female,63,1,0,13502,77.9583,D7,S
277,0,3,female,45,0,0,347073,7.75,Nenhum,S
279,0,3,male,7,4,1,382652,29125,Nenhum,Q
280,1,3,female,35,1,1,C.A. 2673,20.25,Nenhum,S
281,0,3,male,65,0,0,336439,7.75,Nenhum,Q
282,0,3,male,28,0,0,347464,7.8542,Nenhum,S
283,0,3,male,16,0,0,345778,9.5,Nenhum,S
284,1,3,male,19,0,0,A/5. 10482,8.05,Nenhum,S
286,0,3,male,33,0,0,349239,8.6625,Nenhum,C
287,1,3,male,30,0,0,345774,9.5,Nenhum,S
288,0,3,male,22,0,0,349206,7.8958,Nenhum,S
289,1,2,male,42,0,0,237798,13,Nenhum,S
290,1,3,female,22,0,0,370373,7.75,Nenhum,Q
291,1,1,female,26,0,0,19877,78.85,Nenhum,S
292,1,1,female,19,1,0,11967,91.0792,B49,C
293,0,2,male,36,0,0,SC/Paris 2163,12875,D,C
294,0,3,female,24,0,0,349236,8.85,Nenhum,S
295,0,3,male,24,0,0,349233,7.8958,Nenhum,S
297,0,3,male,23.5,0,0,2693,7.2292,Nenhum,C
298,0,1,female,2,1,2,113781,151.55,C22 C26,S
300,1,1,female,50,0,1,PC 17558,247.5208,B58 B60,C
303,0,3,male,19,0,0,LINE,0,Nenhum,S
306,1,1,male,0.92,1,2,113781,151.55,C22 C26,S
308,1,1,female,17,1,0,PC 17758,108.9,C65,C
309,0,2,male,30,1,0,P/PP 3381,24,Nenhum,C
310,1,1,female,30,0,0,PC 17485,56.9292,E36,C
311,1,1,female,24,0,0,11767,83.1583,C54,C
312,1,1,female,18,2,2,PC 17608,262375,B57 B59 B63 B66,C
313,0,2,female,26,1,1,250651,26,Nenhum,S
314,0,3,male,28,0,0,349243,7.8958,Nenhum,S
315,0,2,male,43,1,1,F.C.C. 13529,26.25,Nenhum,S
316,1,3,female,26,0,0,347470,7.8542,Nenhum,S
317,1,2,female,24,1,0,244367,26,Nenhum,S
318,0,2,male,54,0,0,29011,14,Nenhum,S
319,1,1,female,31,0,2,36928,164.8667,C7,S
320,1,1,female,40,1,1,16966,134.5,E34,C
321,0,3,male,22,0,0,A/5 21172,7.25,Nenhum,S
322,0,3,male,27,0,0,349219,7.8958,Nenhum,S
323,1,2,female,30,0,0,234818,12.35,Nenhum,Q
324,1,2,female,22,1,1,248738,29,Nenhum,S
326,1,1,female,36,0,0,PC 17760,135.6333,C32,C
327,0,3,male,61,0,0,345364,6.2375,Nenhum,S
328,1,2,female,36,0,0,28551,13,D,S
329,1,3,female,31,1,1,363291,20525,Nenhum,S
330,1,1,female,16,0,1,111361,57.9792,B18,C
332,0,1,male,45.5,0,0,113043,28.5,C124,S
333,0,1,male,38,0,1,PC 17582,153.4625,C91,S
334,0,3,male,16,2,0,345764,18,Nenhum,S
337,0,1,male,29,1,0,113776,66.6,C2,S
338,1,1,female,41,0,0,16966,134.5,E40,C
339,1,3,male,45,0,0,7598,8.05,Nenhum,S
340,0,1,male,45,0,0,113784,35.5,T,S
341,1,2,male,2,1,1,230080,26,F2,S
342,1,1,female,24,3,2,19950,263,C23 C25 C27,S
343,0,2,male,28,0,0,248740,13,Nenhum,S
344,0,2,male,25,0,0,244361,13,Nenhum,S
345,0,2,male,36,0,0,229236,13,Nenhum,S
346,1,2,female,24,0,0,248733,13,F33,S
347,1,2,female,40,0,0,31418,13,Nenhum,S
349,1,3,male,3,1,1,C.A. 37671,15.9,Nenhum,S
350,0,3,male,42,0,0,315088,8.6625,Nenhum,S
351,0,3,male,23,0,0,7267,9225,Nenhum,S
353,0,3,male,15,1,1,2695,7.2292,Nenhum,C
354,0,3,male,25,1,0,349237,17.8,Nenhum,S
356,0,3,male,28,0,0,345783,9.5,Nenhum,S
357,1,1,female,22,0,1,113505,55,E33,S
358,0,2,female,38,0,0,237671,13,Nenhum,S
361,0,3,male,40,1,4,347088,27.9,Nenhum,S
362,0,2,male,29,1,0,SC/PARIS 2167,27.7208,Nenhum,C
363,0,3,female,45,0,1,2691,14.4542,Nenhum,C
364,0,3,male,35,0,0,SOTON/O.Q. 3101310,7.05,Nenhum,S
366,0,3,male,30,0,0,C 7076,7.25,Nenhum,S
367,1,1,female,60,1,0,110813,75.25,D37,C
370,1,1,female,24,0,0,PC 17477,69.3,B35,C
371,1,1,male,25,1,0,11765,55.4417,E50,C
372,0,3,male,18,1,0,3101267,6.4958,Nenhum,S
373,0,3,male,19,0,0,323951,8.05,Nenhum,S
374,0,1,male,22,0,0,PC 17760,135.6333,Nenhum,C
375,0,3,female,3,3,1,349909,21075,Nenhum,S
377,1,3,female,22,0,0,C 7077,7.25,Nenhum,S
378,0,1,male,27,0,2,113503,211.5,C82,C
379,0,3,male,20,0,0,2648,4.0125,Nenhum,C
380,0,3,male,19,0,0,347069,7775,Nenhum,S
381,1,1,female,42,0,0,PC 17757,227525,Nenhum,C
382,1,3,female,1,0,2,2653,15.7417,Nenhum,C
383,0,3,male,32,0,0,STON/O 2. 3101293,7925,Nenhum,S
384,1,1,female,35,1,0,113789,52,Nenhum,S
386,0,2,male,18,0,0,S.O.C. 14879,73.5,Nenhum,S
387,0,3,male,1,5,2,CA 2144,46.9,Nenhum,S
388,1,2,female,36,0,0,27849,13,Nenhum,S
390,1,2,female,17,0,0,SC 1748,12,Nenhum,C
391,1,1,male,36,1,2,113760,120,B96 B98,S
392,1,3,male,21,0,0,350034,7.7958,Nenhum,S
393,0,3,male,28,2,0,3101277,7925,Nenhum,S
394,1,1,female,23,1,0,35273,113275,D36,C
395,1,3,female,24,0,2,PP 9549,16.7,G6,S
396,0,3,male,22,0,0,350052,7.7958,Nenhum,S
397,0,3,female,31,0,0,350407,7.8542,Nenhum,S
398,0,2,male,46,0,0,28403,26,Nenhum,S
399,0,2,male,23,0,0,244278,10.5,Nenhum,S
400,1,2,female,28,0,0,240929,12.65,Nenhum,S
401,1,3,male,39,0,0,STON/O 2. 3101289,7925,Nenhum,S
402,0,3,male,26,0,0,341826,8.05,Nenhum,S
403,0,3,female,21,1,0,4137,9825,Nenhum,S
404,0,3,male,28,1,0,STON/O2. 3101279,15.85,Nenhum,S
405,0,3,female,20,0,0,315096,8.6625,Nenhum,S
406,0,2,male,34,1,0,28664,21,Nenhum,S
407,0,3,male,51,0,0,347064,7.75,Nenhum,S
408,1,2,male,3,1,1,29106,18.75,Nenhum,S
409,0,3,male,21,0,0,312992,7775,Nenhum,S
413,1,1,female,33,1,0,19928,90,C78,Q
415,1,3,male,44,0,0,STON/O 2. 3101269,7925,Nenhum,S
417,1,2,female,34,1,1,28220,32.5,Nenhum,S
418,1,2,female,18,0,2,250652,13,Nenhum,S
419,0,2,male,30,0,0,28228,13,Nenhum,S
420,0,3,female,10,0,2,345773,24.15,Nenhum,S
422,0,3,male,21,0,0,A/5. 13032,7.7333,Nenhum,Q
423,0,3,male,29,0,0,315082,7875,Nenhum,S
424,0,3,female,28,1,1,347080,14.4,Nenhum,S
425,0,3,male,18,1,1,370129,20.2125,Nenhum,S
427,1,2,female,28,1,0,2003,26,Nenhum,S
428,1,2,female,19,0,0,250655,26,Nenhum,S
430,1,3,male,32,0,0,SOTON/O.Q. 392078,8.05,E10,S
431,1,1,male,28,0,0,110564,26.55,C52,S
433,1,2,female,42,1,0,SC/AH 3085,26,Nenhum,S
434,0,3,male,17,0,0,STON/O 2. 3101274,7125,Nenhum,S
435,0,1,male,50,1,0,13507,55.9,E44,S
436,1,1,female,14,1,2,113760,120,B96 B98,S
437,0,3,female,21,2,2,W./C. 6608,34375,Nenhum,S
438,1,2,female,24,2,3,29106,18.75,Nenhum,S
439,0,1,male,64,1,4,19950,263,C23 C25 C27,S
440,0,2,male,31,0,0,C.A. 18723,10.5,Nenhum,S
441,1,2,female,45,1,1,F.C.C. 13529,26.25,Nenhum,S
442,0,3,male,20,0,0,345769,9.5,Nenhum,S
443,0,3,male,25,1,0,347076,7775,Nenhum,S
444,1,2,female,28,0,0,230434,13,Nenhum,S
446,1,1,male,4,0,2,33638,81.8583,A34,S
447,1,2,female,13,0,1,250644,19.5,Nenhum,S
448,1,1,male,34,0,0,113794,26.55,Nenhum,S
449,1,3,female,5,2,1,2666,19.2583,Nenhum,C
450,1,1,male,52,0,0,113786,30.5,C104,S
451,0,2,male,36,1,2,C.A. 34651,27.75,Nenhum,S
453,0,1,male,30,0,0,113051,27.75,C111,C
454,1,1,male,49,1,0,17453,89.1042,C92,C
456,1,3,male,29,0,0,349240,7.8958,Nenhum,C
457,0,1,male,65,0,0,13509,26.55,E38,S
459,1,2,female,50,0,0,F.C.C. 13531,10.5,Nenhum,S
461,1,1,male,48,0,0,19952,26.55,E12,S
462,0,3,male,34,0,0,364506,8.05,Nenhum,S
463,0,1,male,47,0,0,111320,38.5,E63,S
464,0,2,male,48,0,0,234360,13,Nenhum,S
466,0,3,male,38,0,0,SOTON/O.Q. 3101306,7.05,Nenhum,S
468,0,1,male,56,0,0,113792,26.55,Nenhum,S
470,1,3,female,0.75,2,1,2666,19.2583,Nenhum,C
472,0,3,male,38,0,0,315089,8.6625,Nenhum,S
473,1,2,female,33,1,2,C.A. 34651,27.75,Nenhum,S
474,1,2,female,23,0,0,SC/AH Basle 541,13.7917,D,C
475,0,3,female,22,0,0,7553,9.8375,Nenhum,S
477,0,2,male,34,1,0,31027,21,Nenhum,S
478,0,3,male,29,1,0,3460,7.0458,Nenhum,S
479,0,3,male,22,0,0,350060,7.5208,Nenhum,S
480,1,3,female,2,0,1,3101298,12.2875,Nenhum,S
481,0,3,male,9,5,2,CA 2144,46.9,Nenhum,S
483,0,3,male,50,0,0,A/5 3594,8.05,Nenhum,S
484,1,3,female,63,0,0,4134,9.5875,Nenhum,S
485,1,1,male,25,1,0,11967,91.0792,B49,C
487,1,1,female,35,1,0,19943,90,C93,S
488,0,1,male,58,0,0,11771,29.7,B37,C
489,0,3,male,30,0,0,A.5. 18509,8.05,Nenhum,S
490,1,3,male,9,1,1,C.A. 37671,15.9,Nenhum,S
492,0,3,male,21,0,0,SOTON/OQ 3101317,7.25,Nenhum,S
493,0,1,male,55,0,0,113787,30.5,C30,S
494,0,1,male,71,0,0,PC 17609,49.5042,Nenhum,C
495,0,3,male,21,0,0,A/4 45380,8.05,Nenhum,S
497,1,1,female,54,1,0,36947,78.2667,D20,C
499,0,1,female,25,1,2,113781,151.55,C22 C26,S
500,0,3,male,24,0,0,350035,7.7958,Nenhum,S
501,0,3,male,17,0,0,315086,8.6625,Nenhum,S
502,0,3,female,21,0,0,364846,7.75,Nenhum,Q
504,0,3,female,37,0,0,4135,9.5875,Nenhum,S
505,1,1,female,16,0,0,110152,86.5,B79,S
506,0,1,male,18,1,0,PC 17758,108.9,C65,C
507,1,2,female,33,0,2,26360,26,Nenhum,S
509,0,3,male,28,0,0,C 4001,22525,Nenhum,S
510,1,3,male,26,0,0,1601,56.4958,Nenhum,S
511,1,3,male,29,0,0,382651,7.75,Nenhum,Q
513,1,1,male,36,0,0,PC 17473,26.2875,E25,S
514,1,1,female,54,1,0,PC 17603,59.4,Nenhum,C
515,0,3,male,24,0,0,349209,7.4958,Nenhum,S
516,0,1,male,47,0,0,36967,34.0208,D46,S
517,1,2,female,34,0,0,C.A. 34260,10.5,F33,S
519,1,2,female,36,1,0,226875,26,Nenhum,S
520,0,3,male,32,0,0,349242,7.8958,Nenhum,S
521,1,1,female,30,0,0,12749,93.5,B73,S
522,0,3,male,22,0,0,349252,7.8958,Nenhum,S
524,1,1,female,44,0,1,111361,57.9792,B18,C
526,0,3,male,40.5,0,0,367232,7.75,Nenhum,Q
527,1,2,female,50,0,0,W./C. 14258,10.5,Nenhum,S
529,0,3,male,39,0,0,3101296,7925,Nenhum,S
530,0,2,male,23,2,1,29104,11.5,Nenhum,S
531,1,2,female,2,1,1,26360,26,Nenhum,S
533,0,3,male,17,1,1,2690,7.2292,Nenhum,C
535,0,3,female,30,0,0,315084,8.6625,Nenhum,S
536,1,2,female,7,0,2,F.C.C. 13529,26.25,Nenhum,S
537,0,1,male,45,0,0,113050,26.55,B38,S
538,1,1,female,30,0,0,PC 17761,106425,Nenhum,C
540,1,1,female,22,0,2,13568,49.5,B39,C
541,1,1,female,36,0,2,WE/P 5735,71,B22,S
542,0,3,female,9,4,2,347082,31275,Nenhum,S
543,0,3,female,11,4,2,347082,31275,Nenhum,S
544,1,2,male,32,1,0,2908,26,Nenhum,S
545,0,1,male,50,1,0,PC 17761,106425,C86,C
546,0,1,male,64,0,0,693,26,Nenhum,S
547,1,2,female,19,1,0,2908,26,Nenhum,S
549,0,3,male,33,1,1,363291,20525,Nenhum,S
550,1,2,male,8,1,1,C.A. 33112,36.75,Nenhum,S
551,1,1,male,17,0,2,17421,110.8833,C70,C
552,0,2,male,27,0,0,244358,26,Nenhum,S
554,1,3,male,22,0,0,2620,7225,Nenhum,C
555,1,3,female,22,0,0,347085,7775,Nenhum,S
556,0,1,male,62,0,0,113807,26.55,Nenhum,S
557,1,1,female,48,1,0,11755,39.6,A16,C
559,1,1,female,39,1,1,110413,79.65,E67,S
560,1,3,female,36,1,0,345572,17.4,Nenhum,S
562,0,3,male,40,0,0,349251,7.8958,Nenhum,S
563,0,2,male,28,0,0,218629,13.5,Nenhum,S
566,0,3,male,24,2,0,A/4 48871,24.15,Nenhum,S
567,0,3,male,19,0,0,349205,7.8958,Nenhum,S
568,0,3,female,29,0,4,349909,21075,Nenhum,S
570,1,3,male,32,0,0,350417,7.8542,Nenhum,S
571,1,2,male,62,0,0,S.W./PP 752,10.5,Nenhum,S
572,1,1,female,53,2,0,11769,51.4792,C101,S
573,1,1,male,36,0,0,PC 17474,26.3875,E25,S
575,0,3,male,16,0,0,A/4. 20589,8.05,Nenhum,S
576,0,3,male,19,0,0,358585,14.5,Nenhum,S
577,1,2,female,34,0,0,243880,13,Nenhum,S
578,1,1,female,39,1,0,13507,55.9,E44,S
580,1,3,male,32,0,0,STON/O 2. 3101286,7925,Nenhum,S
581,1,2,female,25,1,1,237789,30,Nenhum,S
582,1,1,female,39,1,1,17421,110.8833,C68,C
583,0,2,male,54,0,0,28403,26,Nenhum,S
584,0,1,male,36,0,0,13049,40125,A10,C
586,1,1,female,18,0,2,110413,79.65,E68,S
587,0,2,male,47,0,0,237565,15,Nenhum,S
588,1,1,male,60,1,1,13567,79.2,B41,C
589,0,3,male,22,0,0,14973,8.05,Nenhum,S
